index,X_img,Y_img,latitude,longitude
TOWER,30219,30418,-22.90108849020565,-43.722702475155096
TOWER,53697,37973,-22.932853698730472,-43.61519533045152
TOWER,133486,37076,-22.930111604578357,-43.25839547549977
TOWER,133463,37121,-22.930008383358228,-43.25819352093865
TOWER,133457,37184,-22.929981456083414,-43.25791078455308
TOWER,109471,16873,-22.840286703670728,-43.36701561422909
TOWER,109434,16925,-22.840120652142694,-43.36678224451401
TOWER,134206,48106,-22.980016820571006,-43.25556811164407
TOWER,89901,35897,-22.924793467802164,-43.4539727603688
TOWER,60725,12565,-22.820782380945545,-43.58561123118681
TOWER,92902,35965,-22.923900379854093,-43.43930637135225
TOWER,116624,14914,-22.831100015079276,-43.334518881405096
TOWER,116583,14953,-22.8309160120347,-43.33434385411879
TOWER,67813,27820,-22.888495501349958,-43.55305166805492
TOWER,79971,30427,-22.90177064783433,-43.50006327909582
TOWER,79712,30478,-22.9006082871381,-43.49983439725988
TOWER,47159,37059,-22.93043921975529,-43.64622452679802
TOWER,110384,31629,-22.907214445226334,-43.36362277760225
TOWER,94416,35827,-22.923514422248395,-43.43274509205538
TOWER,103681,10981,-22.812506731818704,-43.391663046444165
TOWER,121052,14366,-22.82763537238626,-43.31364126766429
TOWER,115313,21398,-22.859324286965762,-43.33952735452091
TOWER,115266,21384,-22.85911335664637,-43.339590184828815
TOWER,21147,28749,-22.892687180463007,-43.76250547521254
TOWER,118393,1929,-22.77261846205768,-43.326373380773205
TOWER,119726,50971,-22.992223851821002,-43.31990185905905
TOWER,56052,15639,-22.8339184031767,-43.60592337215648
TOWER,72714,53,-22.76508331298828,-43.532259324017694
TOWER,68677,24977,-22.876216664033777,-43.54965434354894
TOWER,68587,24891,-22.875812754911536,-43.55004030115464
TOWER,68547,25020,-22.875633239746094,-43.549461364746094
TOWER,43420,5228,-22.78799842385685,-43.66341759176815
TOWER,131843,38983,-22.938894384047565,-43.26599345487707
TOWER,131830,38930,-22.9388360416188,-43.26623131247128
TOWER,131810,38879,-22.93874628403608,-43.266460194307214
TOWER,50441,38248,-22.934397529153262,-43.630117528578815
TOWER,94394,264,-22.765442343319165,-43.43437419218175
TOWER,94122,33,-22.764221640194165,-43.435410892262176
TOWER,78225,27157,-22.884959052590762,-43.50576288559857
TOWER,34759,7291,-22.79759799732882,-43.70262819177964
TOWER,34687,7269,-22.79727487003102,-43.70272692512063
TOWER,128940,22153,-22.86303576301126,-43.27869415283203
TOWER,128896,22202,-22.862838296329276,-43.278474246754364
TOWER,117827,3664,-22.780849232393155,-43.32935782039867
TOWER,130182,23344,-22.868609708898212,-43.27334908878102
TOWER,12724,2779,-22.775899101706113,-43.80006902358111
TOWER,108200,27880,-22.88843715892119,-43.37147207821117
TOWER,118799,9248,-22.806753270766315,-43.32583932315602
TOWER,24483,31913,-22.905863593606387,-43.746510673971734
TOWER,67860,21492,-22.859984005198758,-43.55272854075712
